N: 64, threads: 16, NPixels: 4, NBlocks: 16, Radius: 1, OpenMP ST: 0.000410771
N: 128, threads: 16, NPixels: 4, NBlocks: 32, Radius: 1, OpenMP ST: 0.000510836
N: 256, threads: 16, NPixels: 4, NBlocks: 64, Radius: 1, OpenMP ST: 0.000752175
N: 512, threads: 16, NPixels: 4, NBlocks: 128, Radius: 1, OpenMP ST: 0.00191785
N: 1024, threads: 16, NPixels: 4, NBlocks: 256, Radius: 1, OpenMP ST: 0.00636035
N: 16, threads: 16, NPixels: 4, NBlocks: 4, Radius: 2, OpenMP ST: 0.000403691
N: 32, threads: 16, NPixels: 4, NBlocks: 8, Radius: 2, OpenMP ST: 0.000381378
N: 64, threads: 16, NPixels: 4, NBlocks: 16, Radius: 2, OpenMP ST: 0.000515706
N: 128, threads: 16, NPixels: 4, NBlocks: 32, Radius: 2, OpenMP ST: 0.000615039
N: 256, threads: 16, NPixels: 4, NBlocks: 64, Radius: 2, OpenMP ST: 0.00128046
N: 512, threads: 16, NPixels: 4, NBlocks: 128, Radius: 2, OpenMP ST: 0.00388696
N: 1024, threads: 16, NPixels: 4, NBlocks: 256, Radius: 2, OpenMP ST: 0.0138389
